,Wards in Nairobi,Number of scrap dealers,Presence of open sewage,Sources of water(Borehole),no. of Industries
4097,Mabatini,"""22","000""",44,0
4098,Kayole Central,"""42","300""",65,1
4099,Ruai,"""41","500""",47,0
4100,Dandora Area I,"""27","000""",50,0
4101,Kawangware,"""42","600""",52,0
4102,Kayole Central,"""77","378""",86,1
4103,South C,"""45","000""",87,0
4104,Thika,"""40","500""",113,0
4105,Mabatini,"""20","000""",57,0
4106,Roysambu,"""48","100""",60,1
4107,Thika,"""38","918""",66,1
4108,Mowlem,"""42","200""",87,1
4109,Mugumu-Ini,"""26","000""",96,1
4110,Upper Savannah,"""10","000""",97,1
4111,Sarangombe,"""46","800""",37,0
4112,Kayole South,"""20","000""",87,1
4113,Kibera,"""21","000""",77,1
4114,Ziwani/Kariokor,"""42","500""",74,1
4115,Kariobangi North,"""20","000""",90,0
4116,Ngara,"""62","600""",92,0
4117,Sarangombe,"""42","200""",54,1
4118,Embakasi Central,"""14","000""",177,1
4119,Kahawa,"""10","000""",101,1
4120,Embakasi East,"""55","500""",45,0
4121,Ngara,"""43","000""",77,1
4122,Githurai,"""44","800""",111,1
4123,Nyayo Highrise,"""23","000""",58,0
4124,Eastleigh North,"""90","017""",45,0
4125,Airbase,"""42","400""",95,0
4126,Mowlem,"""90","017""",50,0
4127,Embakasi,"""16","000""",124,1
4128,Mathare North,"""27","000""",67,1
4129,Parklands/Highridge,"""43","600""",91,1
4130,Embakasi East,"""46","200""",73,0
4131,Kwa Njenga,"""41","800""",86,0
4132,Komarock,"""15","000""",102,0
4133,Baba Dogo,"""52","600""",59,1
4134,Embakasi East,"""41","700""",78,0
4135,Landimawe,"""42","500""",88,1
4136,Dandora Area IV,"""46","400""",92,0
4137,Ruai,"""42","400""",79,1
4138,Kamukunji,"""231","700""",95,1
4139,Syokimau,"""42","200""",71,0
4140,Komarock,"""109","890""",59,1
4141,Kwa Ruben,"""12","000""",75,0
4142,Westlands,"""15","000""",74,1
4143,Utawala,"""42","500""",91,0
4144,Korogocho,"""41","900""",88,0
4145,Ngando,"""20","000""",54,0
4146,Kangemi,"""10","000""",86,1
4147,Utalii,"""44","400""",64,0
4148,Ngara,"""43","000""",49,0
4149,Mugumu-Ini,"""42","200""",49,0
4150,Umoja I,"""90","017""",118,1
4151,Kilimani,"""42","600""",83,0
4152,Kileleshwa,"""12","000""",62,0
4153,Westlands,"""46","200""",52,0
4154,Ruiru,"""10","000""",44,0
4155,Dandora Area IV,"""42","800""",48,1
4156,Embakasi South,"""23","000""",44,0
4157,Kariobangi North,"""48","997""",93,1
4158,Airbase,"""42","400""",94,1
4159,Kariobangi South,"""48","000""",98,1
4160,Waithaka,"""48","000""",67,0
4161,Eastleigh South,"""42","972""",54,1
4162,Mathare South,"""10","000""",65,1
4163,Ziwani/Kariokor,"""45","600""",114,1
4164,Kayole South,"""45","000""",91,1
4165,Mlango Kubwa,"""82","972""",98,0
4166,Mowlem,"""21","000""",43,0
4167,Syokimau,"""90","017""",49,1
4168,Kangemi,"""24","000""",69,0
4169,Thika,"""23","000""",99,0
4170,Komarock,"""77","378""",65,0
4171,Syokimau,"""43","000""",99,0
4172,Ruai,"""43","000""",91,1
4173,Eastleigh South,"""45","000""",61,0
4174,Dandora Area II,"""109","890""",87,0
4175,Mlango Kubwa,"""43","600""",82,0
4176,Ziwani/Kariokor,"""48","100""",111,1
4177,Eastleigh South,"""44","800""",98,1
4178,Laini saba,"""82","972""",64,1
4179,Mathare North,"""42","600""",42,1
4180,Uthiru/Ruthi,"""40","500""",104,0
4181,Lower Savannah,"""51","890""",71,0
4182,Dandora Area III,"""62","583""",92,1
4183,Mathare South,"""45","000""",47,0
4184,Korogocho,"""46","800""",51,0
4185,Mathare North,"""45","000""",65,1
4186,California,"""25","000""",54,0
4187,Ngei,"""38","918""",47,0
4188,Dandora Area I,"""12","000""",53,0
4189,Viwandani,"""14","000""",44,0
4190,Nyayo Highrise,"""13","000""",83,0
4191,Riruta,"""18","000""",73,1
4192,Ruiru,"""44","000""",85,0
4193,Baba Dogo,"""42","200""",76,0
4194,Kilimani,"""55","500""",73,0
4195,Komarock,"""20","000""",44,0
4196,California,"""13","000""",102,1
4197,Kayole North,"""42","400""",93,1
4198,Kitisuru,"""42","400""",93,0
4199,Sarangombe,"""22","000""",115,1
4200,Karen,"""19","000""",82,0
4201,Nyayo Highrise,"""41","500""",48,1
4202,Kware,"""41","600""",38,1
4203,Embakasi,"""62","600""",58,0
4204,Mugumu-Ini,"""45","600""",83,0
4205,Huruma,"""62","583""",88,1
4206,California,"""44","918""",58,0
4207,Riruta,"""36","037""",101,0
4208,Ngara,"""38","918""",108,1
4209,Umoja I,"""62","583""",120,1
4210,Lower Savannah,"""17","000""",64,1
4211,Westlands,"""45","600""",96,1
4212,Dandora Area II,"""11","000""",103,1
4213,Sarangombe,"""22","000""",107,1
4214,Kayole Central,"""44","600""",61,0
4215,Mowlem,"""17","000""",63,1
4216,Gatina,"""36","037""",100,1
4217,Imara Daima,"""55","500""",66,1
4218,Baba Dogo,"""41","600""",81,0
4219,Kware,"""45","600""",67,1
4220,Pangani,"""52","500""",103,1
4221,Mlango Kubwa,"""48","000""",60,0
4222,Landimawe,"""41","500""",62,1
4223,Karen,"""41","800""",60,0
4224,Ngara,"""42","600""",82,0
4225,Airbase,"""42","800""",106,0
4226,Mowlem,"""20","000""",83,0
4227,Mathare North,"""43","600""",109,1
4228,Ziwani/Kariokor,"""43","800""",111,1
4229,Dandora Area III,"""24","000""",39,0
4230,Kayole South,"""41","800""",59,1
4231,Eastleigh South,"""38","918""",86,1
4232,Uthiru/Ruthi,"""48","000""",101,0
4233,Uthiru/Ruthi,"""36","037""",58,0
4234,Githurai,"""41","800""",126,1
4235,Viwandani,"""77","378""",78,1
4236,Makadara,"""77","378""",58,0
4237,Ruiru,"""17","000""",65,1
4238,Umoja II,"""65","574""",90,1
4239,Parklands/Highridge,"""36","037""",92,0
4240,Mowlem,"""77","378""",85,1
4241,Kiamaiko,"""18","000""",84,0
4242,Roysambu,"""48","100""",98,1
4243,Lindi Makina,"""17","000""",87,1
4244,Kawangware,"""36","037""",104,1
4245,Kibera,"""38","918""",69,0
4246,Maringo/Hamza,"""24","000""",90,0
4247,Lindi Makina,"""20","000""",65,0
4248,Kayole Central,"""48","100""",87,1
4249,Dandora Area I,"""90","017""",101,1
4250,Mathare South,"""17","000""",95,1
4251,Kasarani,"""10","000""",62,0
4252,Kayole Central,"""26","000""",60,1
4253,Embakasi East,"""36","037""",59,1
4254,Mugumu-Ini,"""77","378""",50,1
4255,Kabiro,"""43","200""",103,1
4256,Ruai,"""18","000""",82,1
4257,South C,"""41","700""",69,1
4258,Pangani,"""29","000""",97,1
4259,Githurai,"""52","500""",116,1
4260,Utalii,"""19","000""",106,0
4261,Upper Savannah,"""44","600""",54,1
4262,Lucky Summer,"""65","574""",92,0
4263,Mathare South,"""24","000""",113,1
4264,Sarangombe,"""14","000""",106,1
4265,Mlango Kubwa,"""42","200""",43,1
4266,Mlango Kubwa,"""22","000""",86,0
4267,Kilimani,"""44","000""",56,1
4268,Kabiro,"""45","200""",85,0
4269,Kitengela,"""19","000""",46,1
4270,Riruta,"""20","000""",63,0
4271,Dandora Area I,"""82","972""",96,1
4272,Kawangware,"""27","000""",108,1
4273,Laini saba,"""36","037""",95,1
4274,Kabiro,"""38","918""",89,1
4275,Pipeline,"""16","000""",98,0
4276,Kware,"""41","700""",87,1
4277,Kawangware,"""10","000""",83,0
4278,Embakasi Central,"""44","400""",42,0
4279,Kware,"""42","400""",91,0
4280,Mathare North,"""48","100""",51,0
4281,Viwandani,"""18","000""",107,0
4282,Syokimau,"""48","997""",80,1
4283,Kabiro,"""26","000""",59,0
4284,Athi River,"""26","000""",57,1
4285,Syokimau,"""42","500""",68,1
4286,Dandora Area III,"""23","000""",43,0
4287,Mihango,"""48","100""",42,0
4288,Dandora Area II,"""21","000""",100,1
4289,South C,"""39","377""",48,1
4290,Kibera,"""45","000""",57,1
4291,Kariobangi South,"""18","000""",73,1
4292,Imara Daima,"""40","500""",94,1
4293,Ngando,"""10","000""",42,1
4294,Kayole North,"""42","200""",108,1
4295,Embakasi East,"""9","000""",100,0
4296,Pipeline,"""18","000""",42,0
4297,Upper Savannah,"""39","377""",82,0
4298,Kariobangi South,"""48","997""",88,1
4299,Mabatini,"""55","500""",57,1
4300,Kileleshwa,"""23","000""",75,1
4301,Landimawe,"""15","000""",44,0
4302,Riruta,"""38","918""",52,1
4303,Mwiki,"""38","918""",70,1
4304,Ngando,"""36","037""",79,0
4305,Eastleigh North,"""11","000""",59,0
4306,Mugumu-Ini,"""41","500""",100,0
4307,Umoja II,"""55","500""",64,1
4308,Ngei,"""15","000""",44,0
4309,Dandora Area IV,"""41","700""",82,0
4310,Laini saba,"""43","400""",43,0
4311,Ruai,"""41","900""",58,1
4312,Lower Savannah,"""38","918""",91,1
4313,Zimmerman,"""17","000""",69,0
4314,Mountain View,"""12","000""",84,0
4315,Mowlem,"""43","200""",106,0
4316,Laini saba,"""42","000""",70,0
4317,Embakasi Central,"""44","600""",54,0
4318,Hospital,"""41","800""",78,0
4319,Pipeline,"""65","574""",54,0
4320,Huruma,"""48","000""",67,0
4321,Starehe,"""90","017""",99,1
4322,Clay City,"""19","000""",88,0
4323,Upper Savannah,"""38","918""",101,1
4324,Kware,"""44","600""",52,0
4325,Laini saba,"""90","017""",76,1
4326,Embakasi South,"""41","500""",32,0
4327,Westlands,"""42","600""",35,1
4328,Kwa Ruben,"""12","000""",71,0
4329,Lindi Makina,"""42","400""",69,0
4330,Embakasi Central,"""46","200""",81,0
4331,Pangani,"""109","890""",53,1
4332,Nairobi West,"""50","800""",83,0
4333,Kileleshwa,"""55","500""",80,0
4334,Kitisuru,"""15","000""",86,1
4335,Kibera,"""46","600""",98,0
4336,Kasarani,"""38","918""",59,0
4337,Kitisuru,"""43","200""",95,0
4338,Pumwani,"""82","972""",101,1
4339,Kahawa West,"""52","600""",81,0
4340,Viwandani,"""17","000""",103,1
4341,Komarock,"""65","574""",79,0
4342,Baba Dogo,"""63","000""",78,1
4343,Uthiru/Ruthi,"""41","500""",59,1
4344,Matopeni/Spring Valley,"""45","600""",54,0
4345,Zimmerman,"""44","600""",57,0
4346,South C,"""63","000""",88,1
4347,Dandora Area I,"""52","500""",76,1
4348,Eastleigh South,"""46","400""",48,0
4349,Baba Dogo,"""45","200""",109,0
4350,Dandora Area III,"""44","600""",94,0
4351,Mountain View,"""123","000""",76,1
4352,Kayole Central,"""22","000""",71,1
4353,Sarangombe,"""38","918""",91,1
4354,Pipeline,"""41","900""",96,1
4355,Mathare North,"""17","000""",65,0
4356,Matopeni/Spring Valley,"""52","500""",51,1
4357,Nyayo Highrise,"""44","200""",85,1
4358,South C,"""44","800""",104,1
4359,Pumwani,"""62","600""",71,0
4360,Utalii,"""25","000""",80,1
4361,Pipeline,"""50","800""",63,1
4362,Kwa Ruben,"""22","000""",46,1
4363,Dandora Area II,"""43","600""",119,1
4364,Pipeline,"""48","997""",54,0
4365,Uthiru/Ruthi,"""48","000""",96,0
4366,Kabiro,"""20","000""",50,0
4367,Kayole South,"""42","200""",112,1
4368,Pipeline,"""26","000""",62,0
4369,Starehe,"""40","500""",67,0
4370,Embakasi North,"""41","700""",203,1
4371,Maringo/Hamza,"""45","600""",67,1
4372,Kahawa West,"""43","200""",64,0
4373,Utalii,"""44","600""",92,1
4374,Kiamaiko,"""44","200""",62,1
4375,Embakasi South,"""48","000""",93,0
4376,Kilimani,"""44","400""",49,0
4377,Woodley /Kenyatta Golf Course,"""19","000""",95,1
4378,Mathare North,"""45","600""",100,0
4379,Harambee,"""10","000""",61,1
4380,Kayole North,"""42","600""",94,0
4381,Utawala,"""46","000""",48,1
4382,Mountain View,"""62","600""",70,0
4383,Harambee,"""44","918""",51,0
4384,Utalii,"""19","000""",107,1
4385,Airbase,"""45","000""",80,0
4386,Kayole Central,"""90","017""",100,0
4387,Embakasi South,"""44","000""",100,0
4388,Makadara,"""63","000""",60,0
4389,Kayole North,"""29","000""",55,0
4390,Makadara,"""44","600""",67,1
4391,Lucky Summer,"""41","900""",118,1
4392,Mutu-ini,"""40","500""",64,1
4393,Dandora Area II,"""52","500""",92,1
4394,Woodley /Kenyatta Golf Course,"""12","000""",109,0
4395,Dandora Area III,"""18","000""",64,0
4396,Karura,"""48","100""",93,0
4397,Umoja II,"""41","900""",51,1
4398,Laini saba,"""17","000""",92,1
4399,Ziwani/Kariokor,"""42","972""",99,0
4400,Laini saba,"""45","400""",47,0
4401,Pipeline,"""29","000""",82,1
4402,Embakasi North,"""42","972""",106,0
4403,Karen,"""43","200""",46,0
4404,Embakasi Central,"""44","600""",46,1
4405,Kilimani,"""90","017""",52,1
4406,Kibera,"""48","000""",79,0
4407,Syokimau,"""43","200""",93,1
4408,Zimmerman,"""14","000""",97,0
4409,Ruiru,"""41","700""",51,0
4410,Kahawa,"""82","972""",103,0
4411,Ziwani/Kariokor,"""42","400""",106,1
4412,Mwiki,"""90","017""",76,1
4413,Waithaka,"""62","600""",77,0
4414,Mutu-ini,"""52","500""",75,0
4415,Embakasi North,"""41","700""",56,1
4416,Lindi Makina,"""48","000""",50,0
4417,Kiamaiko,"""50","800""",63,0
4418,Embakasi East,"""109","890""",79,0
4419,Embakasi East,"""109","890""",59,1
4420,Mathare North,"""12","000""",63,1
4421,Hospital,"""42","600""",63,1
4422,Lucky Summer,"""42","200""",90,1
4423,Kasarani,"""23","000""",94,1
4424,Zimmerman,"""29","000""",91,1
4425,Embakasi East,"""20","000""",103,1
4426,Zimmerman,"""48","100""",56,0
4427,Pumwani,"""17","000""",102,1
4428,Uthiru/Ruthi,"""18","000""",72,0
4429,Syokimau,"""42","972""",57,0
4430,Lucky Summer,"""14","000""",58,0
4431,Ruai,"""62","600""",67,1
4432,Karura,"""46","400""",94,1
4433,Ruiru,"""45","200""",43,0
4434,Makadara,"""42","972""",105,0
4435,Mugumu-Ini,"""40","500""",85,1
4436,Pangani,"""13","000""",101,1
4437,Kileleshwa,"""17","000""",53,1
4438,Ziwani/Kariokor,"""12","000""",52,0
4439,Kariobangi North,"""50","800""",115,0
4440,Kangemi,"""46","174""",46,0
4441,Makadara,"""48","100""",51,0
4442,Karen,"""12","000""",100,0
4443,Kawangware,"""42","500""",92,1
4444,California,"""26","000""",107,0
4445,Mihango,"""21","000""",85,0
4446,Kware,"""36","037""",78,1
4447,Kitengela,"""52","500""",50,1
4448,Kamukunji,"""26","000""",107,1
4449,Pipeline,"""22","000""",121,1
4450,Ziwani/Kariokor,"""50","800""",64,1
4451,Mutu-ini,"""44","000""",88,0
4452,South C,"""23","000""",101,1
4453,Airbase,"""46","200""",60,0
4454,Kabiro,"""123","000""",92,1
4455,South C,"""11","000""",88,1
4456,Kayole North,"""77","378""",68,1
4457,Komarock,"""16","000""",54,1
4458,Githurai,"""44","918""",138,1
4459,Kayole Central,"""109","890""",87,1
4460,Dandora Area IV,"""23","000""",72,0
4461,Eastleigh North,"""23","000""",83,0
4462,Nairobi Central,"""45","400""",95,1
4463,Woodley /Kenyatta Golf Course,"""15","000""",75,0
4464,Embakasi,"""44","600""",54,0
4465,Embakasi,"""14","000""",43,0
4466,Korogocho,"""22","000""",112,0
4467,Pipeline,"""12","000""",98,0
4468,Mwiki,"""44","800""",73,1
4469,Makongeni,"""23","000""",53,1
4470,Kiamaiko,"""48","997""",91,0
4471,Roysambu,"""44","600""",99,0
4472,Kayole Central,"""123","000""",72,1
4473,Dandora Area IV,"""14","000""",51,0
4474,Kamukunji,"""45","800""",74,0
4475,Lucky Summer,"""25","000""",58,0
4476,Viwandani,"""63","000""",98,1
4477,Kahawa West,"""44","918""",94,1
4478,Waithaka,"""23","000""",69,0
4479,Ruai,"""52","500""",70,1
4480,Mugumu-Ini,"""48","000""",109,0
4481,Kware,"""36","037""",61,1
4482,Landimawe,"""15","000""",117,1
4483,Imara Daima,"""38","918""",114,1
4484,Pipeline,"""62","600""",35,0
4485,California,"""14","000""",51,0
4486,Pipeline,"""62","583""",61,0
4487,Githurai,"""42","800""",71,0
4488,Landimawe,"""42","600""",80,0
4489,Airbase,"""46","800""",43,0
4490,Komarock,"""14","000""",78,0
4491,Mountain View,"""52","500""",102,1
4492,Starehe,"""19","000""",42,0
4493,Mathare South,"""46","400""",61,0
4494,Embakasi North,"""46","174""",99,0
4495,Dandora Area II,"""44","918""",64,0
4496,Maringo/Hamza,"""45","200""",102,0
4497,Mwiki,"""43","800""",93,1
4498,Zimmerman,"""22","000""",64,1
4499,Ruiru,"""77","378""",37,0
4500,Kayole Central,"""13","000""",59,0
4501,Korogocho,"""48","100""",91,1
4502,California,"""48","000""",59,1
4503,Baba Dogo,"""44","918""",83,0
4504,Hospital,"""44","918""",98,1
4505,Mowlem,"""36","037""",107,0
4506,Starehe,"""12","000""",83,0
4507,Pumwani,"""44","400""",42,0
4508,Embakasi North,"""45","600""",53,0
4509,Maringo/Hamza,"""44","600""",56,0
4510,Lucky Summer,"""90","017""",87,1
4511,Pumwani,"""41","600""",65,0
4512,Mutu-ini,"""40","500""",77,0
4513,Njiru,"""42","800""",68,0
4514,Lindi Makina,"""52","500""",90,0
4515,Utawala,"""10","000""",73,0
4516,Gatina,"""36","037""",89,0
4517,Kiamaiko,"""42","400""",52,0
4518,Dandora Area IV,"""52","500""",49,1
4519,Umoja II,"""46","600""",45,0
4520,Hospital,"""17","000""",100,0
4521,Makongeni,"""82","972""",57,0
4522,Ngara,"""29","000""",55,0
4523,Clay City,"""46","200""",42,0
4524,Mwiki,"""42","400""",65,1
4525,Lindi Makina,"""42","400""",67,1
4526,Baba Dogo,"""44","800""",110,1
4527,Kibera,"""45","600""",56,0
4528,Utalii,"""44","800""",95,1
4529,Kabiro,"""45","400""",88,1
4530,Kiamaiko,"""14","000""",65,0
4531,Matopeni/Spring Valley,"""26","000""",109,1
4532,Githurai,"""44","800""",49,0
4533,Kitengela,"""52","500""",105,1
4534,Embakasi Central,"""65","574""",64,1
4535,Baba Dogo,"""48","000""",62,1
4536,Sarangombe,"""44","800""",72,0
4537,Embakasi North,"""22","000""",105,1
4538,Kware,"""38","918""",37,0
4539,Mutu-ini,"""82","972""",108,1
4540,Kamukunji,"""55","500""",79,1
4541,Mlango Kubwa,"""48","100""",43,0
4542,Mowlem,"""52","600""",89,0
4543,Embakasi Central,"""42","800""",42,0
4544,Karen,"""29","000""",97,1
4545,Dandora Area III,"""43","200""",76,0
4546,Dandora Area II,"""22","000""",102,1
4547,Riruta,"""42","400""",90,0
4548,Harambee,"""45","800""",66,1
4549,Kware,"""46","400""",77,0
4550,Nyayo Highrise,"""82","972""",42,0
4551,Utawala,"""42","800""",45,0
4552,California,"""41","600""",81,1
4553,Gatina,"""50","800""",88,1
4554,Ngei,"""48","100""",90,1
4555,Lucky Summer,"""16","000""",92,1
4556,Pangani,"""16","000""",70,1
4557,Kariobangi South,"""55","500""",104,1
4558,Laini saba,"""77","378""",47,0
4559,Pipeline,"""15","000""",49,0
4560,Maringo/Hamza,"""14","000""",41,0
4561,Njiru,"""42","500""",38,0
4562,Kilimani,"""42","972""",74,0
4563,Umoja II,"""62","600""",104,1
4564,Kayole South,"""45","000""",66,0
4565,Embakasi,"""23","000""",64,0
4566,Eastleigh South,"""109","890""",59,0
4567,Korogocho,"""23","000""",41,0
4568,Mathare North,"""14","000""",115,1
4569,Mugumu-Ini,"""46","600""",106,0
4570,Kamukunji,"""15","000""",109,1
4571,Baba Dogo,"""45","200""",86,1
4572,Mlango Kubwa,"""41","900""",58,1
4573,Viwandani,"""43","600""",45,0
4574,Kasarani,"""41","600""",78,0
4575,Riruta,"""46","800""",58,0
4576,Roysambu,"""44","000""",99,1
4577,Thika,"""43","400""",86,1
4578,Umoja II,"""14","000""",93,1
4579,Dandora Area III,"""43","000""",91,1
4580,Woodley /Kenyatta Golf Course,"""46","400""",79,0
4581,Komarock,"""44","200""",84,0
4582,Pipeline,"""44","918""",95,0
4583,Nyayo Highrise,"""18","000""",78,1
4584,Embakasi Central,"""24","000""",60,0
4585,Huruma,"""63","000""",29,0
4586,Syokimau,"""44","200""",99,1
4587,Lindi Makina,"""82","972""",98,0
4588,Pangani,"""22","000""",77,1
4589,Woodley /Kenyatta Golf Course,"""24","000""",59,0
4590,Pipeline,"""9","000""",78,0
4591,Mabatini,"""51","890""",103,1
4592,Zimmerman,"""44","200""",51,1
4593,Sarangombe,"""46","174""",102,1
4594,Mathare South,"""55","500""",77,0
4595,Thika,"""10","000""",102,1
4596,Hospital,"""11","000""",33,0
4597,Embakasi,"""25","000""",91,1
4598,Dandora Area I,"""42","500""",50,0
4599,Kayole South,"""26","000""",50,1
4600,Ngara,"""43","600""",50,0
4601,Lower Savannah,"""46","400""",83,0
4602,Kilimani,"""10","000""",73,1
4603,Hospital,"""43","800""",70,1
4604,Westlands,"""123","000""",121,1
4605,Komarock,"""19","000""",86,1
4606,Embakasi South,"""23","000""",82,0
4607,Komarock,"""38","918""",68,1
4608,Karen,"""42","200""",66,1
4609,Lindi Makina,"""21","000""",89,1
4610,Pipeline,"""42","200""",104,1
4611,Kayole South,"""62","600""",103,1
4612,Ngara,"""41","900""",38,0
4613,Kilimani,"""16","000""",79,0
4614,Athi River,"""26","000""",79,1
4615,Mathare North,"""44","400""",62,1
4616,Dandora Area III,"""42","972""",95,1
4617,Dandora Area IV,"""24","000""",108,1
4618,Komarock,"""40","500""",98,1
4619,Kasarani,"""21","000""",85,0
4620,Nairobi South,"""42","400""",35,0
4621,Karen,"""13","000""",83,1
4622,Maringo/Hamza,"""42","500""",32,0
4623,Kahawa West,"""42","300""",46,1
4624,Mathare North,"""52","600""",90,1
4625,Thika,"""18","000""",50,0
4626,Kibera,"""44","000""",61,0
4627,Roysambu,"""44","200""",38,0
4628,Harambee,"""42","300""",109,1
4629,Ngando,"""42","400""",82,0
4630,Kayole North,"""17","000""",66,1
4631,Kawangware,"""42","400""",58,0
4632,Embakasi Central,"""48","000""",34,0
4633,Gatina,"""44","600""",80,1
4634,Kitisuru,"""50","800""",97,1
4635,Hospital,"""90","017""",55,0
4636,Roysambu,"""42","000""",68,0
4637,Utawala,"""90","017""",72,0
4638,Mugumu-Ini,"""45","400""",60,0
4639,Kasarani,"""231","700""",83,1
4640,Ruiru,"""45","200""",77,0
4641,Huruma,"""82","972""",89,1
4642,Athi River,"""20","000""",36,0
4643,Parklands/Highridge,"""40","500""",52,0
4644,Kariobangi North,"""52","600""",98,0
4645,Kangemi,"""46","000""",115,1
4646,Airbase,"""45","600""",48,0
4647,Githurai,"""42","300""",60,1
4648,Pipeline,"""44","800""",81,1
4649,Upper Savannah,"""52","500""",62,0
4650,Embakasi East,"""46","600""",51,1
4651,Waithaka,"""42","400""",84,0
4652,Korogocho,"""109","890""",47,1
4653,Thika,"""46","800""",92,0
4654,Mabatini,"""18","000""",93,0
4655,Kayole North,"""23","000""",46,0
4656,Nairobi Central,"""36","037""",58,0
4657,Dandora Area II,"""65","574""",96,1
4658,Baba Dogo,"""9","000""",112,1
4659,Embakasi North,"""42","500""",42,1
4660,Zimmerman,"""65","574""",71,1
4661,Harambee,"""21","000""",92,1
4662,Korogocho,"""48","997""",30,1
4663,Kabiro,"""9","000""",69,1
4664,Mutu-ini,"""46","200""",90,0
4665,Kasarani,"""45","000""",64,1
4666,Embakasi North,"""45","200""",107,1
4667,Makongeni,"""22","000""",75,1
4668,Embakasi South,"""25","000""",98,1
4669,Dandora Area II,"""19","000""",88,0
4670,Embakasi South,"""16","000""",98,1
4671,Zimmerman,"""23","000""",57,0
4672,Nairobi South,"""38","918""",95,1
4673,Kiamaiko,"""40","500""",102,1
4674,Eastleigh North,"""62","600""",49,1
4675,Dandora Area III,"""44","200""",92,1
4676,Mugumu-Ini,"""13","000""",49,1
4677,Starehe,"""39","377""",73,1
4678,Umoja II,"""16","000""",102,1
4679,Kwa Njenga,"""17","000""",75,0
4680,Ruai,"""41","800""",69,1
4681,Utawala,"""42","972""",119,1
4682,Kawangware,"""14","000""",90,1
4683,Riruta,"""51","890""",51,1
4684,Kahawa West,"""42","000""",100,0
4685,Upper Savannah,"""45","000""",110,1
4686,Eastleigh South,"""17","000""",67,1
4687,Uthiru/Ruthi,"""9","000""",88,0
4688,Eastleigh South,"""46","400""",101,1
4689,Komarock,"""46","600""",58,1
4690,Embakasi East,"""46","174""",69,0
4691,Kawangware,"""9","000""",56,0
4692,Riruta,"""65","574""",120,1
4693,Sarangombe,"""16","000""",108,1
4694,Matopeni/Spring Valley,"""22","000""",45,1
4695,Utawala,"""45","200""",101,0
4696,Kayole Central,"""16","000""",103,1
4697,Dandora Area II,"""42","972""",88,1
4698,Mihango,"""51","890""",36,0
4699,Lower Savannah,"""15","000""",103,1
4700,California,"""25","000""",89,1
4701,Nairobi Central,"""46","174""",112,1
4702,Embakasi North,"""41","900""",57,0
4703,Kibera,"""52","600""",95,1
4704,Kware,"""20","000""",92,1
4705,Kayole Central,"""16","000""",140,1
4706,Kware,"""15","000""",38,1
4707,Embakasi South,"""52","600""",65,0
4708,Kayole South,"""52","600""",76,0
4709,Kariobangi North,"""45","600""",100,0
4710,Kamukunji,"""44","200""",109,0
4711,Kangemi,"""42","200""",44,0
4712,Kibera,"""43","000""",101,1
4713,Ruiru,"""17","000""",50,0
4714,Lucky Summer,"""48","997""",63,1
4715,Kahawa,"""48","100""",93,0
4716,Ziwani/Kariokor,"""43","600""",61,0
4717,Kawangware,"""50","800""",116,1
4718,Nairobi South,"""62","583""",112,1
4719,Clay City,"""42","300""",102,1
4720,Karen,"""62","583""",97,1
4721,Nyayo Highrise,"""46","200""",54,0
4722,Ngara,"""62","583""",99,1
4723,Makongeni,"""48","000""",65,0
4724,Kayole South,"""39","377""",87,1
4725,Nyayo Highrise,"""20","000""",39,0
4726,Dandora Area IV,"""27","000""",91,1
4727,Ruiru,"""62","583""",75,1
4728,Makadara,"""40","500""",96,1
4729,Gatina,"""17","000""",110,0
4730,Ruiru,"""109","890""",89,1
4731,Maringo/Hamza,"""24","000""",58,0
4732,Ngei,"""38","918""",80,1
4733,Mabatini,"""18","000""",46,0
4734,Kariobangi North,"""44","200""",38,0
4735,Pangani,"""42","200""",42,1
4736,Nairobi West,"""46","200""",74,1
4737,Sarangombe,"""123","000""",97,1
4738,Utawala,"""19","000""",71,0
4739,Kitisuru,"""42","200""",58,1
4740,Lucky Summer,"""43","800""",65,0
4741,Ngara,"""82","972""",83,0
4742,Kayole North,"""46","174""",59,1
4743,Kahawa West,"""50","800""",119,0
4744,Imara Daima,"""109","890""",73,0
4745,Dandora Area I,"""25","000""",98,0
4746,Pipeline,"""14","000""",54,0
4747,Pangani,"""42","972""",94,0
4748,Embakasi North,"""39","377""",72,1
4749,Lucky Summer,"""25","000""",83,0
4750,Umoja II,"""43","400""",100,1
4751,Utalii,"""55","500""",103,1
4752,Harambee,"""43","000""",62,0
4753,Kayole Central,"""46","174""",69,1
4754,Mihango,"""41","600""",99,1
4755,Sarangombe,"""26","000""",84,1
4756,Njiru,"""12","000""",66,1
4757,Embakasi North,"""10","000""",46,0
4758,Harambee,"""17","000""",41,1
4759,Dandora Area II,"""46","400""",106,1
4760,Karen,"""42","600""",96,0
4761,Mountain View,"""50","800""",94,1
4762,California,"""48","000""",125,1
4763,Utalii,"""26","000""",59,1
4764,Kariobangi North,"""123","000""",32,0
4765,Kariobangi North,"""46","800""",56,0
4766,Kangemi,"""44","918""",63,1
4767,Kayole South,"""41","800""",59,0
4768,Laini saba,"""22","000""",105,1
4769,Westlands,"""19","000""",53,1
4770,Karen,"""14","000""",57,1
4771,Komarock,"""43","400""",103,1
4772,Kilimani,"""43","600""",108,0
